,Date,nps,Comment
115,2023-04-17 00:40:38,9,.
116,2023-04-17 00:37:27,9,Por economia
117,2023-04-17 00:33:03,10,LAS VECES QUE UTILIZADO EL SERVICIO HE QUEDADO SATISF
118,2023-04-17 00:26:32,10,exelentemente explicado
119,2023-04-17 00:22:09,10,m
120,2023-04-16 23:56:31,10,PRACTICO
121,2023-04-16 23:53:04,10,por su buen servicio
122,2023-04-16 23:48:03,10,Al parecer es muy fácil
123,2023-04-16 23:36:47,10,MUY SENCILLO DE UTILIZAR
124,2023-04-16 23:36:45,10,Fue rápido y efectivo
125,2023-04-16 23:08:04,9,RAPIDA
126,2023-04-16 22:57:04,10,PAGINA RAPIDA Y AMIGABLE
127,2023-04-16 22:40:45,10,FUE RAPIDO Y FACIL
128,2023-04-16 22:29:04,9,muy sencillo
129,2023-04-16 22:21:07,9,ENLACES DIRECTOS
130,2023-04-16 22:06:04,10,FUE MUY SENCILLO
131,2023-04-16 22:00:56,10,Eficiente
132,2023-04-16 21:56:14,10,Rapido
133,2023-04-16 21:47:04,10,EFCIENTE SERVICIO
134,2023-04-16 21:21:52,10,excelente servicio
135,2023-04-16 21:09:23,9,facil y rapido
136,2023-04-16 21:03:17,10,:)
137,2023-04-16 21:00:19,10,FACCIL Y RAPIDO
138,2023-04-16 20:32:43,10,bien
139,2023-04-16 20:30:41,10,eS MUY RAPIDO
140,2023-04-16 20:27:46,10,indicaciones para imprimir los pases de abordar
141,2023-04-16 20:24:03,10,eficiencia
142,2023-04-16 20:05:23,10,MUY SENCILLO
143,2023-04-16 20:03:23,10,fue facil de hacerlo
144,2023-04-16 19:45:18,10,Muy fácil y rápido
145,2023-04-16 19:39:38,10,facil y rapido
146,2023-04-16 19:36:44,10,super rapido sencillo y facil de hacer
147,2023-04-16 19:32:11,10,rapido y facil
148,2023-04-16 19:31:37,10,FACIL DE MANEJAR
149,2023-04-16 19:30:32,10,"Fue muy agil el proceso, excelente servicio"
150,2023-04-16 19:12:17,9,TODO OK
151,2023-04-16 18:31:04,10,FACIL Y SENCILLO
152,2023-04-16 18:28:13,10,buena aereolinea
153,2023-04-16 18:24:25,9,porque es seguro ya he viajado varias veces por este linea.
154,2023-04-16 18:14:35,9,CONFIABLE
155,2023-04-16 17:45:34,10,excelente servicio
156,2023-04-16 17:32:34,10,"es la primera vez que voy a viajar, y la información es clara."
157,2023-04-16 17:11:46,10,no
158,2023-04-16 17:07:10,10,muy buen servicio
159,2023-04-16 17:06:49,10,eficacia
160,2023-04-16 16:47:36,10,excelente servicio
161,2023-04-16 16:40:21,10,"ES LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO! HE TENIDO PROBLEMAS? SI, PERO SIGUE SIENDO LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO"
162,2023-04-16 16:34:56,10,EFICIENCIA
163,2023-04-16 16:34:26,10,es rapido
164,2023-04-16 16:21:24,9,RAPIDO
165,2023-04-16 16:20:11,9,facil y amigable
166,2023-04-16 16:13:11,10,EFICIENTE
167,2023-04-16 15:58:21,10,rapidez
168,2023-04-16 15:42:20,10,eficiente rapidez
169,2023-04-16 15:35:05,10,Sencillo y fácil
170,2023-04-16 15:27:51,10,excelente servicio
171,2023-04-16 15:05:45,9,Rapidez
172,2023-04-16 14:26:25,9,cambios de tarifas
173,2023-04-16 13:07:26,10,POR LO EXTRAORDINARIO DE SU SERVICIO Y NOVEDOSO
174,2023-04-16 12:35:05,10,.
175,2023-04-16 06:57:47,10,OK
176,2023-04-16 06:47:37,10,Es muy fácil hacer el Check Inn
177,2023-04-16 06:06:07,10,Bueno
178,2023-04-16 05:43:35,9,FACIL Y RAPIDO
179,2023-04-16 05:42:04,10,Porque sí.
180,2023-04-16 05:33:04,10,Check-in rapido y facil
181,2023-04-16 05:29:50,10,RAPIDEZ
182,2023-04-16 05:22:04,9,facil y practica la pagina
183,2023-04-16 05:00:46,10,"solo que me cambiaron los precios , yo quería comprar viva fan y tampoco me dejó"
184,2023-04-16 04:43:04,10,POR QUE ES LA MEJOR AEROLINEA DE MEXICO
185,2023-04-16 04:26:16,10,Excelencia en servicio
186,2023-04-16 03:52:35,10,Muy rápido
187,2023-04-16 03:22:48,10,es facil de llenar la forma. solo que cambiaron el asiento de casi $80 a mas de $200 al momento que hacia el llenado de la reserva
188,2023-04-16 03:08:15,9,es facil
189,2023-04-16 03:03:04,9,"En la aplicación piden inforación adicional al numero de pasaporte y no indica clarmente cual es esa información, y en el telefono casi una hora para atender mi llamada."
190,2023-04-16 02:54:53,10,Es muy Interativo
191,2023-04-16 02:17:36,10,Porque es muy facil
192,2023-04-16 02:10:07,10,me gusta el servicio que brinda la aerolinea
193,2023-04-16 01:50:08,10,FLEXIBLE
194,2023-04-16 01:49:16,9,POR LO DINÁMICO
195,2023-04-16 01:40:41,10,por que es muy ágil
196,2023-04-16 01:37:29,10,FUE MUY RAPIDO
197,2023-04-16 01:33:18,10,Buen precio y eficiente
198,2023-04-16 01:25:05,9,eficacia
199,2023-04-16 01:09:48,10,Porque es facil
200,2023-04-16 00:35:43,9,Porque es fácil
201,2023-04-16 00:26:54,10,rapida
202,2023-04-16 00:16:28,9,por lo rapido
203,2023-04-16 00:12:34,10,son pasos faciles y muy sencillos .
204,2023-04-15 23:48:07,9,es practico
205,2023-04-15 23:39:58,9,Sistema amigable y agil
206,2023-04-15 23:34:16,10,facil y rapido
207,2023-04-15 23:31:53,9,Es amigable
208,2023-04-15 22:53:28,9,facil
209,2023-04-15 22:03:04,9,X
210,2023-04-15 22:02:37,10,Fácil
211,2023-04-15 21:42:15,9,bUENOS VUELOS
212,2023-04-15 21:39:12,9,ES BUENO
213,2023-04-15 21:29:40,10,rapido y sencillo
214,2023-04-15 21:27:08,9,por practico y economico los vuelos
215,2023-04-15 21:17:15,10,muy facil y rapido
216,2023-04-15 21:16:44,10,ok
217,2023-04-15 21:01:24,10,por que si
218,2023-04-15 20:51:13,10,Facil
219,2023-04-15 20:51:12,10,Todo tramite es facil y rapido
220,2023-04-15 20:32:51,10,ES SENCILLO
221,2023-04-15 20:23:26,10,genial
222,2023-04-15 19:57:52,10,muy facil de usar
223,2023-04-15 19:35:08,10,Es fácil y rápido muy sencillo y ahorramos tiempo.
224,2023-04-15 19:02:37,10,EL PROCESO ES BASTANTE CLARO Y SIMPLE
225,2023-04-15 18:53:05,10,TIENE BUENA ATENCION EN GENERAL CON LAS PERSONAS CON DISCAPACIDAD O AL MENOS EN MI CASO
226,2023-04-15 18:19:09,10,excelente pagina
227,2023-04-15 18:17:22,9,Va todo muy bien y a tiempo
228,2023-04-15 17:59:10,9,por que es práctico
229,2023-04-15 17:56:49,10,.
230,2023-04-15 17:46:17,9,PORQUE FUE MUY RÁPIDO
231,2023-04-15 17:44:04,9,Efectividad
232,2023-04-15 17:39:20,10,POR FACIL ACCESO
233,2023-04-15 17:38:04,10,Siempre he tenido buenas experiencias viajando con viva aerobus.
234,2023-04-15 17:35:38,10,muy ágil el proceso
235,2023-04-15 17:32:43,10,Porque fue muy rápido
236,2023-04-15 17:32:11,9,Agilidad
237,2023-04-15 17:27:44,9,ESTA FACIL Y RAPIDO
238,2023-04-15 17:13:46,10,RAPIDEZ Y SEGURIDAD
239,2023-04-15 17:12:31,10,Excelente todo
240,2023-04-15 17:04:40,10,facil
241,2023-04-15 16:56:47,10,Rapido!
242,2023-04-15 16:45:21,10,rapida y sencilla
243,2023-04-15 16:45:17,10,soy buenos y accecibles
244,2023-04-15 16:42:11,10,OK
245,2023-04-15 16:39:44,10,Es facil
246,2023-04-15 16:39:25,10,EXCELENTE SERVICIO
247,2023-04-15 16:38:12,9,Por practicidad
248,2023-04-15 16:19:18,10,RAPIDEZ
249,2023-04-15 16:12:56,10,RAPIDO ME LL
250,2023-04-15 16:08:41,10,economia
251,2023-04-15 15:45:50,10,la facilidad de seleccion
252,2023-04-15 15:26:36,10,excelente y simple manera de comprar
253,2023-04-15 15:17:54,10,POR EL SERVICIO
254,2023-04-15 15:14:35,10,HAY MUCHA FLEXIBILIDAD E INFORMACION FACIL
255,2023-04-15 15:12:34,9,Fue sencillo.
256,2023-04-15 15:11:50,10,economico
257,2023-04-15 14:57:18,10,bien
258,2023-04-15 14:55:55,10,ES FACIL EL PROCESO
259,2023-04-15 14:46:52,10,mas agilidad en los tramites
260,2023-04-15 14:20:14,10,ok
261,2023-04-15 14:17:54,10,rapidez y eficencia
262,2023-04-15 13:12:53,9,Facil y Rapido
263,2023-04-15 12:49:43,9,FUE RAPIDO
264,2023-04-15 09:47:20,10,Could not translate webpage to english.
265,2023-04-15 06:30:48,10,super facil
266,2023-04-15 06:09:04,10,Es muy rápido
267,2023-04-15 06:06:37,10,"Sencillo, rápido y eficiente"
268,2023-04-15 05:48:10,10,EFICIENCIA
269,2023-04-15 04:28:04,10,facil
270,2023-04-15 04:16:10,10,FÁCIL TRÁMITE
271,2023-04-15 03:57:07,10,ME PARECE MUY BIEN
272,2023-04-15 03:48:46,10,es muy facil hacer el check-in
273,2023-04-15 03:37:41,9,Excelente servicio de reservaciones
274,2023-04-15 03:32:04,10,excelente
275,2023-04-15 03:26:09,10,es rapida
276,2023-04-15 02:38:40,9,no vi mi asiento
277,2023-04-15 02:37:12,9,"esta sencillo, no di un 10 porque aveces no era obvio como continuar a la siguiente pantalla"
278,2023-04-15 02:36:51,10,porque si
279,2023-04-15 02:36:41,9,SON BUENOS
280,2023-04-15 02:29:48,10,bien
281,2023-04-15 01:44:44,10,cambiaron el modo de viajar en el pais
282,2023-04-15 01:24:29,9,ok
283,2023-04-15 01:24:23,10,COMODIDAD
284,2023-04-15 01:17:23,10,BIEN
285,2023-04-15 01:02:17,10,todo muy facil gracias
286,2023-04-15 00:34:05,10,practicidad
287,2023-04-15 00:08:41,9,Facilidad.
288,2023-04-15 00:01:52,10,ES MUY SENCILLO
289,2023-04-14 23:54:54,10,disponibilidad de vuelos
290,2023-04-14 23:42:44,10,"Facil de navegar su sitio web, los mejores precios!"
291,2023-04-14 23:37:10,10,rapides
292,2023-04-14 23:31:24,10,los quiero mucho
293,2023-04-14 23:18:10,10,Rápido y fácil de realizar
294,2023-04-14 23:05:40,9,ok
295,2023-04-14 23:05:09,10,FACILIDAD D RESERVAR
296,2023-04-14 23:04:42,9,Rapidez
297,2023-04-14 23:04:16,10,PARA EVITAR ATRASOS
298,2023-04-14 23:02:10,10,ES FACIL
299,2023-04-14 22:54:30,10,porque no imprimes en papel y es mucho mas sencillo el abordaje
300,2023-04-14 22:52:29,10,EXCELENTE SERVIVIO
301,2023-04-14 22:44:31,10,Andrea Perez de el call center fue muy amable!Gracias por su servicio y ayuda
302,2023-04-14 22:33:11,10,muy facil
303,2023-04-14 22:26:39,10,Buen servicio
304,2023-04-14 22:12:37,10,OK
305,2023-04-14 21:46:47,10,todo muy bien
306,2023-04-14 21:45:35,10,eficiencia y claridad en el servicio
307,2023-04-14 21:12:26,10,BUENA ATENION
308,2023-04-14 21:03:46,10,FACILIDAD DE VIAJAR Y DOCUMENTAR
309,2023-04-14 20:51:31,10,Pasos sencillos
310,2023-04-14 20:37:57,10,Muy buen servicio
311,2023-04-14 20:32:11,10,X
312,2023-04-14 20:27:05,10,Es muy sencillo
313,2023-04-14 20:04:10,10,FUE MUY SENCILLO HACER EL CHECK INN
314,2023-04-14 19:52:16,9,ME FUE MUY ACCESIBLE
315,2023-04-14 19:48:04,10,"Confío en VIVA Airlines. precio barato. Los vuelos de aerolíneas son numerosos. Muy selectivo. Además, el servicio de VIVA Airlines es de primera clase."
316,2023-04-14 19:46:17,9,Sin mayores inconvenientes
317,2023-04-14 19:45:05,9,ES SENCILLO
318,2023-04-14 19:40:42,9,ENCONTRE EL VUELO QUE NECESITABA
319,2023-04-14 19:37:04,10,es muy intuitiva y amigable
320,2023-04-14 19:36:52,10,facil
321,2023-04-14 19:35:34,10,precios
322,2023-04-14 19:33:20,9,ES AGIL Y RAPIDO
323,2023-04-14 19:29:05,10,ES SENCILLO EL MENÚ.
324,2023-04-14 19:16:04,10,rápido y sencillo
325,2023-04-14 19:01:04,10,es muy claro en sus indicaciones y restricciones.
326,2023-04-14 19:00:41,9,ok
327,2023-04-14 18:59:10,9,rapido
328,2023-04-14 18:57:06,10,Por ser muy rápido y practico
329,2023-04-14 18:46:05,10,ES FACIL
330,2023-04-14 18:44:46,10,facilidad
331,2023-04-14 18:44:15,10,Gracias
332,2023-04-14 18:39:38,10,me encanta su sistema
333,2023-04-14 18:20:40,10,ES MUY FACIL Y RAPIDO EL SERVICIO
334,2023-04-14 18:18:04,10,Fácil de hacer
335,2023-04-14 18:13:12,10,PORQUE ME PARECE MUY SEGURO EL VIAJE
336,2023-04-14 18:13:04,10,POR RAPIDO Y COMODO
337,2023-04-14 18:04:23,10,fácil y rápido
338,2023-04-14 18:04:20,10,Facilidad
339,2023-04-14 18:02:56,10,PORQUE ES MUY SENCILLO
340,2023-04-14 18:02:40,10,TODO HA SIDO OK EN LOS VUEKOS UE HE HECHO
341,2023-04-14 18:00:27,10,"BUENA ATENCION Y EXCELENTE SERVICIO, DESDE LA RESERVACION Y EL MOSTRADOR"
342,2023-04-14 17:58:37,9,"Bastante buena, muy intuitiva."
343,2023-04-14 17:54:47,10,Para eficientar el abordaje
344,2023-04-14 17:52:53,10,COOL
345,2023-04-14 17:48:54,10,Es muy fácil usar la página
346,2023-04-14 17:48:41,10,muy practico y fácil de realizar
347,2023-04-14 17:40:05,10,eficientes
348,2023-04-14 17:33:56,10,Muy bien
349,2023-04-14 17:27:03,10,excelente atencion en linea
350,2023-04-14 17:26:17,10,POR SERIEDAD Y CUMPLIMIENTO
351,2023-04-14 17:24:26,10,super rápido el proceso
352,2023-04-14 17:20:19,10,GRACIAS
353,2023-04-14 17:06:04,10,excelente
354,2023-04-14 17:03:51,10,agil
355,2023-04-14 17:02:29,9,ATENCION
356,2023-04-14 17:01:16,9,Fácil manejo
357,2023-04-14 17:00:18,10,muy practica
358,2023-04-14 16:53:13,10,Rapido y facil
359,2023-04-14 16:49:12,10,es muy rapido
360,2023-04-14 16:46:15,10,apenas lo haré pero bueno ya te califique
361,2023-04-14 16:36:25,9,facilidad
362,2023-04-14 16:35:51,10,Tienen buen sistema
363,2023-04-14 16:34:21,10,MUY RAPIDO Y SENCILLO.
364,2023-04-14 16:31:33,10,muy practico
365,2023-04-14 16:28:04,10,PUNTUALIDAD
366,2023-04-14 16:28:04,10,SERVICIO EXCELENTE
367,2023-04-14 16:22:30,10,Muy buen  servicio
368,2023-04-14 16:09:28,9,facil y rapido
369,2023-04-14 16:01:56,10,Excelente
370,2023-04-14 16:01:43,10,excelente servicio
371,2023-04-14 15:53:03,10,Sencillo
372,2023-04-14 15:43:23,9,FACIL Y RAPIDO
373,2023-04-14 15:42:22,9,EFICIENTE
374,2023-04-14 15:41:31,10,seervicio
375,2023-04-14 15:39:29,10,ES MUY FACIL CUMPLE MUY BIEN
376,2023-04-14 15:34:17,9,precio y caidad
377,2023-04-14 15:22:04,10,economico
378,2023-04-14 15:18:32,10,buen servicio
379,2023-04-14 15:17:31,10,RAPIDO
380,2023-04-14 15:10:24,10,me parecio perfecto y aparte rapido
381,2023-04-14 15:10:09,10,Rapidez
382,2023-04-14 14:54:17,10,ok
383,2023-04-14 14:41:34,10,Fácil y rápido
384,2023-04-14 14:29:04,10,PRECIO
385,2023-04-14 13:56:31,10,es muy fácil y muy amigable el sistema
386,2023-04-14 13:53:19,9,buen servicio
387,2023-04-14 13:08:10,10,facil
388,2023-04-14 12:37:10,10,Muy Sencillo
389,2023-04-14 12:32:16,9,si
390,2023-04-14 12:29:32,10,por el servicio atento
391,2023-04-14 08:47:57,10,SON LOS MEJORES!!!!
392,2023-04-14 06:43:51,10,facil de manejar
393,2023-04-14 05:58:43,10,j
394,2023-04-14 05:11:51,9,"Agil y fácil. lo que no entendí es porque cobran por reservar los asientos, aun en la clase economica"
395,2023-04-14 04:43:51,10,Porque agiliza el embarque
396,2023-04-14 04:43:50,10,Por precio
397,2023-04-14 04:25:24,10,Es muy sencillo
398,2023-04-14 04:12:22,9,PORQUE SI
399,2023-04-14 04:02:14,10,MEJORA EL SERVICIO
400,2023-04-14 03:28:28,10,excelente
401,2023-04-14 03:12:33,10,facil y rapido
402,2023-04-14 03:00:18,10,EASTA MUY FACIL DE REALIZARLO
403,2023-04-14 02:45:38,10,Muy fácil de usar.
404,2023-04-14 02:45:05,10,BUEN SERVICIO
405,2023-04-14 02:23:04,9,Proceso ágil
406,2023-04-14 01:43:39,10,facilidad
407,2023-04-14 01:25:05,9,rapido y facil
408,2023-04-14 01:18:09,10,NOMAS
409,2023-04-14 01:13:37,10,Muy facil
410,2023-04-14 01:13:06,10,TODO MUY FACIL Y ACCESIBLE
411,2023-04-14 00:52:17,10,muy amigable la pagina y practica . Gracias
412,2023-04-14 00:49:42,10,ES RÁPIDO
413,2023-04-14 00:41:47,10,porque
414,2023-04-14 00:38:31,10,es muy facil y rapido.
415,2023-04-14 00:33:26,9,es facil y rapido
416,2023-04-14 00:27:53,10,buen servicio
417,2023-04-14 00:26:22,9,Porque es fácil y rápido
418,2023-04-14 00:12:04,10,VUELOS A TIEMPO Y SERVICIO
419,2023-04-13 23:59:21,10,facil de usar
420,2023-04-13 23:59:20,10,Puntualidad en sus vuelos
421,2023-04-13 23:52:28,10,Excelente servicio
422,2023-04-13 23:47:08,10,Muy sencillo y rápido
423,2023-04-13 23:42:08,10,ES UN EXCELENTE SERVICIO
424,2023-04-13 23:36:54,9,FACIL
425,2023-04-13 23:36:04,10,"Precio Economico , todavia no me he subido al avion"
426,2023-04-13 23:35:48,10,MUY RAPIDOS Y EFICAZ
427,2023-04-13 22:37:57,10,porque es muy facil
428,2023-04-13 22:20:27,10,bueno
429,2023-04-13 22:11:43,10,EXCELENTE SERVICIO. MUY FACIL DE USAR
430,2023-04-13 21:50:11,9,RAPIDO
431,2023-04-13 21:47:25,10,eficinecia y precios
432,2023-04-13 21:34:51,10,ok
433,2023-04-13 21:32:12,9,facil de usar
434,2023-04-13 21:16:19,10,facilidad
435,2023-04-13 21:14:20,10,muy rapido
436,2023-04-13 21:13:53,10,RAPIDA Y SEGURA
437,2023-04-13 21:09:52,10,Rapida y eficiente
438,2023-04-13 20:51:54,10,rapido
439,2023-04-13 20:49:13,10,es rapidísimo!
440,2023-04-13 20:37:50,10,TE AGILIZA EL PROCESO
441,2023-04-13 20:36:37,10,EFECTIVA Y RÁPIDA
442,2023-04-13 20:34:35,10,por sencillo
443,2023-04-13 20:27:08,10,44R45R4
444,2023-04-13 20:25:17,9,Se ahorra tiempo
445,2023-04-13 20:22:53,10,Intuitivo
446,2023-04-13 20:01:55,10,si
447,2023-04-13 19:52:30,10,Es muy fácil y te ahorras hacer fila en el aeropuerto
448,2023-04-13 19:49:40,10,ahorra tiempo yes muy practico
449,2023-04-13 19:24:04,10,Pagina amigable
450,2023-04-13 19:16:20,10,RUTAS DIRECTAS
451,2023-04-13 19:15:29,9,BUEN SERVICIO
452,2023-04-13 19:10:06,10,..
453,2023-04-13 18:59:34,10,RAPIDEZ Y AMABILIDAD
454,2023-04-13 18:56:55,10,BUEN SERVICIO
455,2023-04-13 18:53:22,10,excelente servicio!!!
456,2023-04-13 18:50:11,10,MUY RAPIDO
457,2023-04-13 18:48:09,10,Geografía
458,2023-04-13 18:46:26,10,muy rapido
459,2023-04-13 18:38:25,10,buen servicio
460,2023-04-13 18:35:05,10,BUEN SERVICIO
461,2023-04-13 18:28:57,10,ES LA MEJOR EMPRESA AEREA. SE ESTA QUEDANDO CORTO AEROMEXICO
462,2023-04-13 18:22:44,10,facil
463,2023-04-13 18:21:14,9,Por la rapidez
464,2023-04-13 18:06:22,9,hasta el momento ha sido rápido
465,2023-04-13 18:00:25,10,MEJOR AEROLINEA
466,2023-04-13 17:58:48,10,EFICIENTE
467,2023-04-13 17:52:16,10,MUY ACCESIBLE
468,2023-04-13 17:49:35,10,MUY RAPIDO
469,2023-04-13 17:47:13,10,TODO FUE CLARO
470,2023-04-13 17:44:40,10,"Porque es como me gusta, Fácil y Rápido"
471,2023-04-13 17:32:04,10,OK
472,2023-04-13 17:29:35,10,Facil de utilizar
473,2023-04-13 17:28:13,9,OK
474,2023-04-13 17:24:43,10,MUY PRACTICA
475,2023-04-13 17:21:47,10,muy practico
476,2023-04-13 17:19:04,10,muy amigable la pagina
477,2023-04-13 17:15:34,10,Fácil y rapido
478,2023-04-13 17:14:38,10,SII
479,2023-04-13 17:06:40,10,ES BUENA
480,2023-04-13 16:56:36,9,muy sencilllo el registro
481,2023-04-13 16:49:04,10,bueno
482,2023-04-13 16:39:10,10,COMPRE MUY RAPIDO Y A BUEN PRECIO
483,2023-04-13 16:34:32,10,Facil
484,2023-04-13 16:29:54,10,Muy ágil
485,2023-04-13 16:27:20,10,Fué fácil
486,2023-04-13 16:27:03,9,facilidad
487,2023-04-13 16:26:29,10,MUY SENCILLO
488,2023-04-13 16:24:26,10,Fue muy ágil el proceso para realizar el check in
489,2023-04-13 16:18:37,10,FACILIDAD DE HACER CHECK IN
490,2023-04-13 16:16:35,9,por la rapidez
491,2023-04-13 16:12:14,9,Por que permite hacer el chek in con anticipacón y evitamos filas
