Date,nps,text
2023-01-03,7,"La página se vuelve un poco confusa, en caso de que alguna persona mayor quisiera utilizarla sería complicado para ella"
2023-01-03,8,buena
2023-01-03,7,"Me molesta en gran manera que traten de venderme absolutamente todo!!...desde el cobro de equipaje, selección de asientos, seguro de reserva...TODO!!! Es realmente molesto!!"
2023-01-03,5,muy tardado
2023-01-03,7,No cobrar todo por aparte
2023-01-03,5,hice reservaciones para 2 personas y solo necesitaba en un pasajero una maleta de 15 kilos. Pero el sistema no me dejaba agregar 1 maleta para un solo pasajero. Me la agrego para los dos pasajeros.
2023-01-03,5,"Al ser rechazada mi forma de pago, me vi forzada a buscar el mismo vuelo desde una página incógnito, en la cual le subieron $75 mxn al costo del vuelo. Pésimo eso."
2023-01-03,7,"Intente pagar 4 reservaciones, al momento de pagar no me permitia realizar el pago, marcaba un error en los montos, ""los montos no coinciden""."
2023-01-03,8,"Los precios aparentemente son muy económicos, pero al finalziar la reserva suben mucho."
2023-01-03,8,Me perdió la selección de vuelos cuando cree la nueva cuenta
2023-01-03,8,na
2023-01-03,5,vuelos multidestino
2023-01-03,8,las tarifas son engañosas ya que hay muchos servicios innecesarios
2023-01-03,0,"NO PUDE REALIZAR EL PAGO DE MIS TIQUETES, PONIA EL CODIGO DE TRES DIGITOS DE MI TARJETA Y LO BORRABA."
2023-01-03,7,en poner el verdadero precio en la selección de asientos; no que +$22 se convierte en +$230 cuando lo seleccionas.
2023-01-03,7,Tratan de inserterte muchos gastos extras
2023-01-03,8,Podría ser menos complicado la reservación
2023-01-03,7,No pude pagar en la aplicacion
2023-01-03,4,Dejen de ofrecer servicios insolicitados
2023-01-03,5,"hay cosas que no son tan visibles, omitir pasos que no son tan necesarios"
2023-01-03,4,hidden fee
2023-01-03,5,SIN HACER CARGOS ADICIONALES QUE YO NO ESCOGI.....COMO EL DEL REEMBOLS
2023-01-03,8,servicio al abordaje
2023-01-03,7,Esperé demasiado a cargar la página y tuve que cambiar método de pago
2023-01-03,7,SI
2023-01-03,8,No agreguen Total reembolso automaticamente.  Dejenme seleccionarlo como todo lo demás.
2023-01-03,8,La pagina y aplicacion por telefono no me dejaban pagar
2023-01-03,5,demoran sus vuelos mucho de resto todo bien
2023-01-03,8,no respeta coompras anteriores y va subiendo de precio cada consulta
2023-01-03,8,HACER UNA PAGUINA CON MENOS OPCIONES
2023-01-03,7,NO SE
2023-01-03,7,Incrementar opciones en cada area
2023-01-03,7,la claridad de la info de pago
2023-01-03,7,dar mejor atención a clientes frecuentes ya que la atención no es la mejor para los vuelos
2023-01-03,7,"Quitar tantos botones de pagos adicionales y no confundir al cliente.¨Favor de indicar que cuando es Tarifa Zero el checkin es al mismo dia, casi una hora antes de abordar."
2023-01-03,8,...
2023-01-03,7,ME SACO CUANDO YA ESTABA A PUNTO DE PAGAR
2023-01-03,5,Esta es la  segunda vez que que tengo que recurrir a pagar en el Oxxo por que no acepta mi tarjeta de debito.
2023-01-03,0,una pesima experiencia.
2023-01-03,8,"Si,  haciendo paquetes de vuelo, que incluya lo esencial"
2023-01-03,7,hacerla mas amigable
2023-01-03,4,NO SUBIENDO PRCIOS DE MOMENTO
2023-01-03,2,el formato no es logico y ademas te orilla a que compres mas productos
2023-01-03,5,NO DA PRECIO FINAL CAMBIA A CADA RATO
2023-01-03,0,No me dejo realizar el pago
2023-01-03,0,solo me dejaban pagar si ponia el seguro del vuelo
2023-01-03,8,PIDEN MUCHOS PASOS Y SE VA INCREMENTANDO EL PRECIO MUCHO EN COMPARACION CON LO QUE OFRECEN DE UN INICIO
2023-01-03,3,NO COBRANDO CONCEPTOS ABSURDOS. TODO QUIEREN COBRAR HSDPTM
2023-01-03,0,Way to much extra charges and try to get me to buy more.
2023-01-03,8,"MENOS OPCIONES, MÁS RAPIDO SABER EL TOTAL A PAGAR"
2023-02-28,8,DAR INFORMACION MAS CLARA
2023-02-28,6,"Marca error con tarjetas de crédito, arroja que los datos son incorrectos"
2023-02-28,7,"De repente me molesto no saber el cargo del rembolso que me incluyeron, hasta que vi el porque. Me hubiera gustado que me avisaran antes de cargarlo."
2023-02-28,5,NO AUMENTANDO PRECIOS
2023-02-28,6,LOS COSTOS SON TOTALMENTE DISTINTOS
2023-02-28,7,SIMPLIFICAR LA CANTIDAD DE INFORMACION E IMAGENES
2023-02-28,8,MEJORAR LA REVISOON DE ASIENTOS DISPONIBLES ANTES DE LA RESERVA
2023-02-28,0,falla en el pago de tarjeta de credito para promocion a meses sin intereses
2023-02-28,8,Haciendo más claro el proceso de reservación
2023-02-28,8,me mandan encuesta antes de terminar
2023-02-28,3,ES UN PROBLEMA PARA REALIZAR LOS PAGOS
2023-02-28,7,NO PONER SERVICIOS COMO EL TRANSFER AUTOMATICO
2023-02-28,0,pagina engañosa
2023-02-28,5,respetando los precios dichos al iniciar la compra
2023-02-28,8,"ser más específicos en los costos adicionales, todo lo demás excelente."
2023-02-28,8,promociones MSI
2023-02-28,7,En la tarifa que cotizan deberían mostré con el TU A incluido.
2023-02-28,8,"Son muchas preguntas, deberian de hacerlas todas en una sola ventana"
2023-02-28,3,LOS ASIENTOS NO DEBERÍAN DE TENER TODOS UN COSTO EXTRA
2023-02-28,5,TRAMPOSOS.
2023-02-28,4,NO ME DEJA REALIZAR MI PAGO EN LÍNEA Y CREO QUE NO DEBIERON HABER QUITADO LOS PAGOS DIFERIDOS CON OTRAS TARJETAS DE CRÉDITO
2023-02-28,5,Sin tantos cobros escondidos como son asiento y pista de aterrizaje
2023-02-28,7,A veces se trababa la página
2023-02-28,7,son demasiadas preguntas y decisiones
2023-02-28,7,"MENOS TRAMITES, MÁS RAPIDEZ"
2023-02-28,0,no hacer todo tan dificil y tratando de cobrar qualquier cosa
2023-02-28,8,LA APP UN POCO COMPLICADA
2023-02-28,7,No tienen descuento de adulto mayor
2023-02-28,8,V
2023-02-28,6,.
2023-02-28,4,HACERLA MAS AMIGABLE
2023-02-28,8,.
2023-02-28,8,queremos um acesso a cia que es top! jander@triponline.tur.br
2023-02-28,4,se trabo a la hora de registrar los datos de mi tarjeta y el precio incremento demasiado de un dia a otro
2023-02-28,3,"INCLUIR MENOS COSTOS, COBRAN ASIENTOS"
2023-02-28,0,muy mal servicio para forma de pagos
2023-02-28,7,Más claridad en el proceso de compra
2023-02-28,8,precios
2023-02-28,5,"resolviendo el problema que tienen para iniciar sesion en usuario, yo ya tengo uno creado con mi correo pero fue imposible acceder, intente durante semanas y siempre da el mismo puto error, les mande un correo a su soport y no contestan, basicamente no les interesa. Si su sistema de puntos funciona por favor agreguen este vuelo a mi cuenta! gracias!"
2023-02-28,8,Muchos precios agregados
2023-02-28,6,No añadir costos si el cliente no los seleccionó
2023-02-28,8,EL SISTEMA NO ES AMIGABLE CON LA DEFINICIÓN DE LAS FECHAS
2023-02-28,3,esta muy complicada la pagina
2023-02-28,0,no da informacion bien  y no deja pagar
2023-02-28,5,Mejores precios en TUA por que el vuelo muy barato pero el impuesto carísimo.. sale lo mismo
2023-02-28,2,"Hay mucha discrepancia en los precios, sale mejor incluir el vuelo con el TUA"
2023-02-28,5,"Muy lentoMuchos cargos extras, es mejor mostrar el valor total del boleto incluido el TUA"
2023-02-28,0,no processa las transactiones
2023-02-28,5,te agregan muchas cosas inservibles
2023-02-28,7,La compra se realiza en demasiados pasos. Sería más práctico que todo viniera desglosado en la misma página
2023-02-28,3,No hay sistema parta pago con tarjetas
2023-02-28,7,CONCENTRANDO  EL PAGO
2023-02-28,7,a
2023-02-28,7,Aumentan costos por cada selección
2023-02-28,8,"mas claro aggregando la TUA, calendario de precio mas claros"
2023-02-28,8,Me gustaría agregar todo individualmente y no por grupo
2023-02-28,8,experiencia del usuario
2023-02-28,8,"Intentan vender hasta Alka Seltzer y curitas en este proceso, lo que lo conviente en muchos pasos, podrían omitir uno de ellos para agilizar la compra"
2023-02-28,0,No me deja pagar!!!
2023-02-28,7,ser mas directos demaciadas opciones
2023-02-28,0,no pude hacer mi reservacion con mi tarjeta
2023-02-28,3,Demasiadas opciones de engaño.
2023-02-28,8,Precios
2023-02-28,6,"Antes incluian una maleta documentada en Light, no me gusto ese cambio y tampoco que tratan de agregar el cobro para refund del vuelo y tenemos que quitarlo manualmente, eso nunca nos ha gustado de su pagina."
2023-02-28,0,No pude pagar con mi tarjeta viva plus
2023-02-28,8,EN LOS VUELOS REDONDOS NO ES NECESARIO DOCUMENTAR EN AMBOS VIAJES LAS MALETAS
2023-02-28,8,sip
2023-02-28,3,Dando los precios con Tua desde el principio
2023-02-28,8,bajar el TUA y no deberian cobrar los asientos
2023-02-28,0,terrible. no sirve cuando pago con mi carta de crédito.
2023-02-28,8,"Me gusta, pero le agregan a uno adicionales que uno nunca eligió y es difícil darse cuenta, parece un poco engañoso"
2023-02-28,0,Muy confuso todas las opcione que venden adicional
2023-02-28,8,"El ""reembolso total"" no debería agregarse automáticamente, más si solo cubre los eventos mencionados. Me gustaría poder adquirirlo si solamente ""ya no quiero viajar"""
2023-02-28,8,Costo excesivo de  seleccion de asientos
2023-02-28,8,MUCHOS AGREGAR
2023-02-28,8,Costos totales desde el inicio de la compra
2023-02-28,0,"La pagina no funciona, no se puede pagar con tarjeta"
2023-02-28,5,ES MUY CONFUSA LA PAGINA
2023-02-28,7,"Está traqueada la tarifa , cada vez agregan mesa cosas. Al principio me hicieron creer que la tarifa era con impuestos, que era total y luego me aumentaron el impuesto de aeropuerto; de 3 mil y feria me salió en el doble."
2023-02-28,8,Servicios dentro del avión.
2023-02-28,5,Se trabó mucho durante el proceso
2023-02-28,7,Omisiones que hace la aerolinea.
2023-02-28,5,Con tantas opciones de adicionales suele hacer tedioso el proceso.
2023-02-28,5,Problemas para pagar la reservación.
2023-02-28,7,impusieron una compra de maleta y no hubo forma de quitarla
2023-02-28,7,confusion con pagos y promocion de pagos a credito
2023-02-28,2,Los costos no son claros y al final te dice que el costo que apareció ya no esta vigente. Esto es muy engañoso
2023-02-28,0,No he podido hacer la compra después de una infinidad de intentos. Llamé a VivaAerobus y me dijeron que era que el banco la estaba declinando. Llamé al banco y ellos me dijeron que no había habido intento de compra. Qué eestá pasando?
2023-02-28,8,todo bien
2023-02-28,8,Tiene temas de UX por resolver.
2023-02-28,5,Una página más amigable y clara con las rutas a seguir y donde se encuentra cada cosa.
2023-02-28,4,"tarda mucho tiempo en cargar, no deja realizar pagos con tarjetas digitales BBVA"
2023-02-28,0,NUNCA
2023-02-28,8,exageran en el TUA he cotizado con otras aerolineas un mismo vuelo y sale mucho mas barato en ocasiones
2023-02-28,8,TODO BIEN
2023-02-28,6,QUITEN TANTAS OPCIONES A COBRAR ES ENGAÑOSO
2023-02-28,8,bien
2023-02-28,8,SON DEMASIADOS PASOS
2023-02-28,4,No declinando tarjetas
2023-02-28,7,Poder cambiar la info del pasajero más fácil  y que la selección de asientos sin cargo extra estuviera más accesible
2023-02-28,7,no quiso agarrar mi tarjeta
2023-02-28,6,precios
2023-02-28,5,Son muchos pasos y se agregan servicios adicionales que incrementan el precio
2023-02-28,0,no es user friendly tu pagina la odio
2023-02-28,7,avisar del tua antes
2023-02-28,8,SIENTO LA PAGINA UN POCO CONFUSA
2023-02-28,2,"van mal, la sesion expira rapido, si vuelves atras pierde datos"
2023-02-28,6,SI
2023-02-28,8,Menos propuestas
2023-02-28,7,la pagina esta muy lenta
2023-02-28,1,SU PAGINA NO FUNCIONO 80% DEL TIEMPO CUANDO QUERIA COMPRARLES UN BOLETO
2023-02-28,8,Intente con 3 tarjetas y no me dejo pagar con ninguna.
2023-02-28,7,no se puede escoger dos combos diferentes cuando se compran varios boletos
2023-02-28,4,"Es un diseño hecho para ser tramposa y encabronante UIOdio Viva aerobus"
2023-02-28,5,Demasiados menús
2023-02-28,6,REDUCCICEINDO LOS COSTOS Y PODER MODIFICAR LOS VUELOS INDIVIDUALMENTE YA QUE MUCHAS OCASIONES ALGUNOS PASAJEROS LLEVAN MENOS EQUIPAJE
2023-02-28,6,"muy confuso, no te dan las opciones del equipaje por persona desde el inicio, sino que hasta que esta avanzado el proceso"
2023-02-28,1,MUY TEDIOSA LA PAGINA PARA COMPRAR VUELOS Y SABER TOTALES
2023-02-28,7,Sintantos rodeos  a la hora de comprar los boletos
2023-02-28,6,"Son demasiados los pasos, si fuera más sencilla la experiencia al cliente, sería una página excepcional."
2023-02-28,3,"Poco dificil navegar, no sive bien en mobile. Tampoco funciona cambiar a dolar a pesos"
2023-02-28,0,NO DEJA PAGAR
2023-02-28,7,la calidad
2023-02-28,7,cada vez sale más caro volar con ustedes
2023-02-28,8,"Deberian de indicar que si no es obligatorio escoger los asientos, parece que no hay de otra pero si hay y es gratis"
2023-02-28,0,"Totalmente ineficiente y malintencionada , falta de claridad en informacion proprcionada iprincipalmente en precios"
2023-02-28,3,Por Que mi amigo compraba el bileto y una problema occurado.  Mi bileta no mas available y yo so triste por que necesito entrado las informacion tambien.
2023-02-28,7,Pague con BBVa tarjeta de credito mayor a $2000 y no me aparecio la opcion de pagar a meses sin intereses
2023-02-28,7,que no tarden tanto las maletas
2023-02-28,6,I WAS ON HOLD WAITING FOR A CSR FOR MORE THAN 50MIN.
2023-02-28,2,"AGREGA EXTRAS QUE YO NO AGREGE, NO SE PUEDE QUITAR ORDEN DE CARRITO"
2023-02-28,5,"Haciéndola mas intuitiva y entendible, es mucho cobro de servicios adicionales escondidos entre las muchas opciones disponibles."
2023-02-28,8,Siendo más claros en la información solicitada.
2023-02-28,8,no poniendo tanta publicidad y opciones porque confunden primero vuelo y despues extras
2023-02-28,8,MÁS RÁPIDA
2023-02-28,8,bien
2023-02-28,8,Son muchos cambio de precios y se cobra por todo
2023-02-28,4,los costos
2023-02-28,7,La cantidad de submenus consecutivos vuelve tediosa la compra rapida de boletos
2023-02-28,8,bien
2023-02-28,5,atencion al cliente
2023-02-28,0,acepten pagos con tarjeta
2023-02-28,4,El precio es engañoso hasta el final te dejan quitar el seguro de protección total
2023-02-28,8,Sin tantas páginas para llegar al checkout
2023-02-28,8,Pongan mejores precios.
2023-02-28,5,ser claros en el precio final
2023-02-28,8,No poner anuncios encima del contenido
2023-02-28,7,"Mucho, tu pagina es muy estresante. Muchos clicks, deberia ser mas rapida realizar una reservación."
2023-02-28,8,Rapidez
2023-02-28,8,Poner mas sencillo las formar de pago y los meses sin intereses
2023-02-28,4,"Siendo mas rapida, con menos pasos a seguir y sin tantas opciones a agregar"
2023-02-28,7,M
2023-02-28,6,"Las preselecciones que usan para cobrar mal son de mal gusto, hacen sentir que quieren aprovecharse del consumidor. Es una práctica que seguró violenta los derechos del consumidor ante la profeco."
2023-02-28,4,EXTREMADAMENTO COMPLICADA! DEBEN SIMPLIFICAR SU PROCESO
2023-02-28,8,...
2023-02-28,8,No jalo mi tarjeta de Banamex
2023-02-28,7,siendo mas concientes con el pasajero... quieren cobrar hasta por respirar...
2023-02-28,7,Demasiadas preguntas
2023-02-28,6,NO ME GUSTA QUE METAN SEGUROS Y OTRAS COSAS AFUERZA SIN QUE TE DES CUENTA
2023-02-28,8,NO TIENEN TODOS LOS DATOS DE COSTOS TIENE UNO QUE IR LLENANDO LA COMPRA DE BOLETOS PARA SABER EL COSTO REAL
2023-02-28,7,ya cobren las cosas juntas. Ir subiendo con precios migajas es frustrante.
2023-02-28,0,mala pagina
2023-02-28,7,Ninguno
2023-02-28,5,Poniendo los precios en los dias para verlos
2023-02-28,7,no agregar seguro por si solo
2023-02-28,0,su web dio sirve intente con 4 tarjetas activas y ninguna tomaron
2023-02-28,7,Muchos pasos y apartados para llegar al final
2023-02-28,7,Dificil cambiar datos de número de personas y pagar
2023-02-28,8,Mejorando sistema de pago
2023-02-28,8,Facturación inmediata cuando se paga
2023-02-28,6,"Mucha informacion que abruma y confunde, el proceso para llegar al pago es muy largo con demasiadas ofertas"
2023-02-28,8,"EL precio de TUA cambió antes de realizar mi pago, es algo que no me gustó."
2023-02-28,2,NO ES AMIGABLE Y PROPORCIONA INFORMACION FALSA
2023-02-28,6,demasiadas preguntas
2023-02-28,7,"la vez pasada me cancelaron el mero diame cambiaron el vueloy me ofrecieron un cupon para el siguiente vuelo que no llegò"
2023-02-28,6,demasiados precios ocultos
2023-02-28,5,MANEJAR UN SOLO PRECIO
2023-02-28,0,NO COBRANDO TODO APARTE Y MEJORAR PRECIOS
2023-02-28,8,antes se podia pagar a meses sin intereses y ahora esa opcion ya no existe
2023-02-28,8,NOT CHANGING THE AMOUNTS TO OFTEN
2023-02-28,4,"Muchos errores, no me dejaba regresar a la pagina anterior y tuve que comenzar de nuevo 5 veces. Demasiado frustrajnte"
2023-02-28,1,No acepta los pagos
2023-02-28,7,el proceso de reservacion y pago en linea y mostrar el precio total al principio
2023-02-28,7,QUITEN EL TUA O COBRAR MENOS TUA
2023-02-28,8,agregar mas opciones de pagos si intereses
2023-02-28,7,"TE AGREGA SERVICIOS QUE YA PREVIAMENTE CANCELASTE, PESIMO QUE TE COBREN POR ELEGIR ASIENTO."
2023-02-28,6,esta muy lenta
2023-02-28,3,"Su diseño para tratar de confundir a la gente con sus extras, no se si su esquema es legal, pero si creo que es moralmente reprobable"
2023-02-28,8,ser mas claros en la informacion
2023-02-28,8,Dar mas tiempo para tomar una decision sobre todo para la gente mayor.
2023-02-28,6,menos anuncios y pops ups
2023-02-28,7,tienen muchas trabas para ver el costo total
2023-02-28,6,trampa que cobran el tua haste el final
2023-02-28,8,Agregando el TUA y bajando el precio de los asientos
2023-02-28,7,no ocultando precios
2023-02-28,8,SER MAS CLAROS EN LOS ERRORES
2023-02-28,5,si se paga un vuelo ya debe incluir el asiento
2023-02-28,6,Son demasiados pasos para lograr comprar y precios confusos
2023-02-28,7,Mas ágil su pagina al momento de reservar
2023-02-28,3,Que tienen glitches al hacer compras
2023-02-28,8,"yo agendo los viajes de mis familiares y todo a sido satisfactorio, hasta ahora"
2023-02-28,7,"Cuando tratas de agregar equipaje documentado en uno solo de los pasajeros, al ser una reservación por 2 o más pasajeros, no está amigable ni claro."
2023-02-28,6,No enganchando con los precios para dejar al final el TUA
2023-02-28,8,Hacerla mas sencilla
2023-02-28,8,"algo pesado varias hojas, podria estar mas practico"
2023-02-28,8,ESPECIFICANDO LAS TARIFAS POR CATEGORIA DE EQUIPAJE
2023-02-27,7,incluyan precio de asiento
2023-02-27,8,Batalle para pagar con tarjeta de credito
2023-02-27,0,PROBLEMAS CON EL PAGO EN LINEA
2023-02-27,7,"batalle para pagar , con la tarjeta que estaba  ya en sistema,   se borraba  automaticamente el CVV  cdo le daba terminar"
2023-02-27,2,NO ME DEJA PAGAR CON LA TARJETA QUIE ES PARA COMPRAR VUELOS
2023-02-27,6,facilitar los procesos por celular
2023-02-27,4,"muchos cambios, no es claro"
2023-02-27,5,"Siempre se batalla para realizar el pago, aún cuando la tarjeta haya sido previamente usada y guardada, rechaza el pago sin motivo aparente y hay que recapturar cada vez"
2023-02-27,8,cobren menos
2023-02-27,7,la pagina vence y tienen que comenzar de 0
2023-02-27,8,MENOS PASOS.. O HACER MAS CORTOS LOS PASOS QUE NO SEA UN PAGINA POR CADA UNO
2023-02-27,5,pesima pagina
2023-02-27,8,"lo de los documentos, tiene que poner varias ves."
2023-02-27,6,TENER AYUDAR DE UNA PERSONA EN LINEA TELEFONICA SIN GRABADORA
2023-02-27,8,no me dejo capturar pasaportes
2023-02-27,0,"sitio web muy trabado, en el checkout me apareció como 30 veces un recuadro que decía ""tu sesión está por expirar"", oprimía en continuar y cada 2 segundos volvía a aparecer"
2023-02-27,7,"lo hacen demasiado enredado y los precios son engañosos,"
2023-02-27,5,MUCHA PUBLICIDAD
2023-02-27,0,"Imposible pagar con tarjetas de crédito. Hay que hablar para realizar el pago y obviamente además de la demora en exceso, las tarifas y asientos escogidos ya no estan disponibles"
2023-02-27,5,Muy confusa por tanto servicio extra
2023-02-27,6,reducir los pasos para llegar al pago
2023-02-27,3,U just fake the price by adding 50% at the last step
2023-02-27,5,PONIENDO LA OPCIÓN DE MESES EN LA PAGINA
2023-02-27,1,Digan los precios reales transparentemente y desde el principio. No agreguen los servicios con costo adicional automáticamente.
2023-02-27,5,Difícil pagar con tarjeta de crédito
2023-02-27,8,NO PONGAN TANTAS OPCIONES DE SERVICIOS
2023-02-27,8,"Personalizar datos finales de (equipaje, niños y mascotas) que se lleguen a seleccionar ya comprado) para no estar descifrando en el apartado que corresponde a lo que yo compre para viajar. Sigan mejorando, la verdad se esta haciendo cada vez mas practica su pagina de ventas y es un gusto preferir volar con ustedes. Espero me contacte alguien de ustedes pues tengo un problema pues compre boleto de adulto y mi mama después quiso viajar con su nieta junto al boleto que ya les mencione pero no se como unirlos en una misma compra si el boleto ya pagado el viva Zero. I celular es 9841541769. Aún así voy a intentar buscar su contacto y exponer mi caso. saludos"
2023-02-27,0,No me deja pagar con mi tarjeta de credito. Pesimo sistema de pagos
2023-02-27,8,xx
2023-02-27,7,"conexion sin interrupciones, se bloqueo al pagar el TUA , se perdieron los asientos y subieron de precio"
2023-02-27,8,demasiados clicks
2023-02-27,0,"Te ponen bajo el costo pero al final te sale igual que la competencia, estonces pesimo"
2023-02-27,8,MAS SENCILLO EL PROCESO SIN OBLIGAR A COMPRAR COSAS DE MAS
2023-02-27,6,Creo que los precios podrían ser más bajos. Pero en general bien.
2023-02-27,5,"Esconden demasiado los cargos no solicitados, por ejemplo el seguro de Reembolso Total. Perdí demasiado tiempo para poder encontrar cómo quitarlo. Es un abuso."
2023-02-27,8,Mas rapidez en la asignacion de los datos
2023-02-27,3,English please
2023-02-27,4,Que los precios base que muestran fueran reales
2023-02-27,7,Hagan que la pagina deje de cambiar los precios que muestra cuando uno le da click
2023-02-27,8,Especificar lo del seguro de vuelo antes
2023-02-27,7,"Los precios subieron mucho, sin embargo siguen siendo los mas baratos"
2023-02-27,4,No me permitio hacer uso de codigo de descuento 33070565520600001
2023-02-27,0,Hice una compra de casi 4000mxn y recibi 0 doters
2023-02-27,7,"Si compras vuelos individuales te sale mas barato que comprarlos juntos, no hace sentido"
2023-02-27,7,Evitar propaganda que puede confundir al viajero y solo beneficia a la línea aérea.
2023-02-27,0,NUNCA
2023-02-27,0,ll
2023-02-27,7,"un poco lento, mucho anuncio,"
2023-02-27,6,No cobrando por cada  cosa.
2023-02-27,7,La página tarda mucho en cargar.
2023-02-27,0,First you change the price when I check out. Then you wont let me pay!!
2023-02-27,8,sin comentarios
2023-02-27,8,gracias
2023-02-27,4,me parece increible que en cuestion de minutos cambiien los precios  muy mal uno no siempre cuenta ocn la mejor conecion a internet
2023-02-27,8,Más claridad en el proceso de la tarifa
2023-02-27,8,MEJORANDO LOS HORARIOS
2023-02-27,0,No pueden aceptar un puto pago con miles de tarjetas
2023-02-27,8,Poner el costo total incluyendo el TUA desde el inicio
2023-02-27,3,Se atora la página a la hora de meter la info de la tarjeta de crédico. Tuve que hacer la reservación desde el inicio dos veces...
2023-02-27,2,"Evitando cargos extras como el de la maleta de 10kg, eso no debe cobrarse, ya que es lo mínimo con lo que uno debe viajar"
2023-02-27,7,mejores precios
2023-02-27,0,QIERES?
2023-02-27,5,"Los viajes demoran demasiado y el tiempo de abordaje es mayor.Habría que agilizar el proceso."
2023-02-27,6,aveces se traba mucho. gracias
2023-02-27,4,"Información engañosa y tendenciosa al buscan en la comprar, cobrar más, por servicios que deben incluir. Encarecen los precios."
2023-02-27,5,muy poco intuitiva
2023-02-27,4,"Mejorando su sistema para poder pagar directo, intente pagar con mi tarjeta no me lo permitio, tuve que usar paypal, lo cual no es un inconveniente sin embargo fue molesto no poderlo hacer directo"
2023-02-27,0,COMPLICADA Y BUSCAN COMO COBRAR MAS
2023-02-27,8,La página se reinició 2 veces sola
2023-02-27,8,que no pongan tantas opciones
2023-02-27,0,payment process had problems - paypal would be amazing!
2023-02-27,8,quitar trampas en los seguros y gastos extra.
2023-02-27,0,NO CAMBIANDO LOS PRECIOS EN CUESTION DE MINUTOS
2023-02-27,1,CAMBIA DE PRECIO  A CADA RATO
2023-02-27,7,no bloquear los nombres del perfil para el vuelo
2023-02-27,7,El precio del TUA
2023-02-27,5,MAS OPCIONES DE TRANSPORTE TERRESTRE AL LLEGAR A AEROPUERTOS
2023-02-27,8,Muy Bueno!
2023-02-27,7,"Mostrar costo total desde el inicio, no agregar adicionales no solicitados."
2023-02-27,8,"RESPERTAR PRECIOS AL PAGAR, NUNCA SE ACABÓ EL TIEMPO Y AL PAGAR SE CANCELÓ POR TARIFA MODIFICADA"
2023-02-27,5,menos preguntas
2023-02-27,0,PÒNEN CARGOS EXTRAS A ESCONDIDAS
2023-02-27,8,"Muchas pantallas y opciones a escoger, y eso hace menos claro el costo del viaje a seleccionar"
2023-02-27,8,PONIENID MAS VUELOS DIRECTOS
2023-02-27,8,"Algo lento el proceso de reserva. Y ya llenando todo, resultó que ya había cambiado la tarifa.A llenar todo otra vez."
2023-02-27,7,Poder ver el costo del boleto incluyendo el TUA antes de cargar la información del pasajero
2023-02-27,8,"Son demasiados pasos para la reserva, simplificar sería bueno. No me dejo modificar mis datos del perfil."
2023-02-27,8,No teniendo los adicionales almomento
2023-02-27,8,"SON MUCHOS EXTRAS, QUITARLOS AYUDARÍAS MUCHO."
2023-02-27,8,"TENER UN PLAN PREDISEÑADO DE LA VERSIÓN MÁS ECONOMICA, ES DECIR, SIN TANTA SELECCIÓN PARA LAS PERSONAS QUE NO ESTAN TAN FAMIIARIZADAS CON LA TECNOLOGIA. GRACIAS."
2023-02-27,2,MUY LENTA PARA COMPRAR UN BOLETEO ADEMAS DE TENER QUE PAGAR HASTA POR UN MALETA DE 10 KG QUE DEBE ESTAR INCLUIDA
2023-02-27,7,"Don't have all the add on pages! Plus, don't automatically add the seguro"
2023-02-27,8,ok
2023-02-27,5,DEJEN DE COBRAR POR TODO
2023-02-27,0,nunca pasan mis tarjetas de credito
