Unnamed: 0,Date,nps,Comment
156,2023-04-16 17:32:34,5,"es la primera vez que voy a viajar, y la información es clara."
157,2023-04-16 17:11:46,5,no
158,2023-04-16 17:07:10,5,muy buen servicio
159,2023-04-16 17:06:49,5,eficacia
160,2023-04-16 16:47:36,5,excelente servicio
161,2023-04-16 16:40:21,5,"ES LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO! HE TENIDO PROBLEMAS? SI, PERO SIGUE SIENDO LA MEJOR LINEA AEREA DE BAJO COSTO EN MEXICO"
162,2023-04-16 16:34:56,5,EFICIENCIA
163,2023-04-16 16:34:26,5,es rapido
164,2023-04-16 16:21:24,4,RAPIDO
165,2023-04-16 16:20:11,4,facil y amigable
166,2023-04-16 16:13:11,5,EFICIENTE
167,2023-04-16 15:58:21,5,rapidez
168,2023-04-16 15:42:20,5,eficiente rapidez
169,2023-04-16 15:35:05,5,Sencillo y fácil
170,2023-04-16 15:27:51,5,excelente servicio
171,2023-04-16 15:05:45,4,Rapidez
172,2023-04-16 14:26:25,4,cambios de tarifas
173,2023-04-16 13:07:26,5,POR LO EXTRAORDINARIO DE SU SERVICIO Y NOVEDOSO
174,2023-04-16 12:35:05,5,.
175,2023-04-16 06:57:47,5,OK
176,2023-04-16 06:47:37,5,Es muy fácil hacer el Check Inn
177,2023-04-16 06:06:07,5,Bueno
178,2023-04-16 05:43:35,4,FACIL Y RAPIDO
179,2023-04-16 05:42:04,5,Porque sí.
180,2023-04-16 05:33:04,5,Check-in rapido y facil
181,2023-04-16 05:29:50,5,RAPIDEZ
182,2023-04-16 05:22:04,4,facil y practica la pagina
183,2023-04-16 05:00:46,5,"solo que me cambiaron los precios , yo quería comprar viva fan y tampoco me dejó"
184,2023-04-16 04:43:04,5,POR QUE ES LA MEJOR AEROLINEA DE MEXICO
185,2023-04-16 04:26:16,5,Excelencia en servicio
186,2023-04-16 03:52:35,5,Muy rápido
187,2023-04-16 03:22:48,5,es facil de llenar la forma. solo que cambiaron el asiento de casi $80 a mas de $200 al momento que hacia el llenado de la reserva
188,2023-04-16 03:08:15,4,es facil
189,2023-04-16 03:03:04,4,"En la aplicación piden inforación adicional al numero de pasaporte y no indica clarmente cual es esa información, y en el telefono casi una hora para atender mi llamada."
190,2023-04-16 02:54:53,5,Es muy Interativo
191,2023-04-16 02:17:36,5,Porque es muy facil
192,2023-04-16 02:10:07,5,me gusta el servicio que brinda la aerolinea
193,2023-04-16 01:50:08,5,FLEXIBLE
194,2023-04-16 01:49:16,4,POR LO DINÁMICO
195,2023-04-16 01:40:41,5,por que es muy ágil
196,2023-04-16 01:37:29,5,FUE MUY RAPIDO
197,2023-04-16 01:33:18,5,Buen precio y eficiente
198,2023-04-16 01:25:05,4,eficacia
199,2023-04-16 01:09:48,5,Porque es facil
200,2023-04-16 00:35:43,4,Porque es fácil
201,2023-04-16 00:26:54,5,rapida
202,2023-04-16 00:16:28,4,por lo rapido
203,2023-04-16 00:12:34,5,son pasos faciles y muy sencillos .
204,2023-04-15 23:48:07,4,es practico
205,2023-04-15 23:39:58,4,Sistema amigable y agil
206,2023-04-15 23:34:16,5,facil y rapido
207,2023-04-15 23:31:53,4,Es amigable
208,2023-04-15 22:53:28,4,facil
209,2023-04-15 22:03:04,4,X
210,2023-04-15 22:02:37,5,Fácil
211,2023-04-15 21:42:15,4,bUENOS VUELOS
212,2023-04-15 21:39:12,4,ES BUENO
213,2023-04-15 21:29:40,5,rapido y sencillo
214,2023-04-15 21:27:08,4,por practico y economico los vuelos
215,2023-04-15 21:17:15,5,muy facil y rapido
216,2023-04-15 21:16:44,5,ok
217,2023-04-15 21:01:24,5,por que si
218,2023-04-15 20:51:13,5,Facil
219,2023-04-15 20:51:12,5,Todo tramite es facil y rapido
220,2023-04-15 20:32:51,5,ES SENCILLO
221,2023-04-15 20:23:26,5,genial
222,2023-04-15 19:57:52,5,muy facil de usar
223,2023-04-15 19:35:08,5,Es fácil y rápido muy sencillo y ahorramos tiempo.
224,2023-04-15 19:02:37,5,EL PROCESO ES BASTANTE CLARO Y SIMPLE
225,2023-04-15 18:53:05,5,TIENE BUENA ATENCION EN GENERAL CON LAS PERSONAS CON DISCAPACIDAD O AL MENOS EN MI CASO
226,2023-04-15 18:19:09,5,excelente pagina
227,2023-04-15 18:17:22,4,Va todo muy bien y a tiempo
228,2023-04-15 17:59:10,4,por que es práctico
229,2023-04-15 17:56:49,5,.
230,2023-04-15 17:46:17,4,PORQUE FUE MUY RÁPIDO
231,2023-04-15 17:44:04,4,Efectividad
232,2023-04-15 17:39:20,5,POR FACIL ACCESO
233,2023-04-15 17:38:04,5,Siempre he tenido buenas experiencias viajando con viva aerobus.
234,2023-04-15 17:35:38,5,muy ágil el proceso
235,2023-04-15 17:32:43,5,Porque fue muy rápido
236,2023-04-15 17:32:11,4,Agilidad
237,2023-04-15 17:27:44,4,ESTA FACIL Y RAPIDO
238,2023-04-15 17:13:46,5,RAPIDEZ Y SEGURIDAD
239,2023-04-15 17:12:31,5,Excelente todo
240,2023-04-15 17:04:40,5,facil
241,2023-04-15 16:56:47,5,Rapido!
242,2023-04-15 16:45:21,5,rapida y sencilla
243,2023-04-15 16:45:17,5,soy buenos y accecibles
244,2023-04-15 16:42:11,5,OK
245,2023-04-15 16:39:44,5,Es facil
246,2023-04-15 16:39:25,5,EXCELENTE SERVICIO
247,2023-04-15 16:38:12,4,Por practicidad
248,2023-04-15 16:19:18,5,RAPIDEZ
249,2023-04-15 16:12:56,5,RAPIDO ME LL
250,2023-04-15 16:08:41,5,economia
251,2023-04-15 15:45:50,5,la facilidad de seleccion
252,2023-04-15 15:26:36,5,excelente y simple manera de comprar
253,2023-04-15 15:17:54,5,POR EL SERVICIO
254,2023-04-15 15:14:35,5,HAY MUCHA FLEXIBILIDAD E INFORMACION FACIL
255,2023-04-15 15:12:34,4,Fue sencillo.
256,2023-04-15 15:11:50,5,economico
257,2023-04-15 14:57:18,5,bien
258,2023-04-15 14:55:55,5,ES FACIL EL PROCESO
259,2023-04-15 14:46:52,5,mas agilidad en los tramites
260,2023-04-15 14:20:14,5,ok
261,2023-04-15 14:17:54,5,rapidez y eficencia
262,2023-04-15 13:12:53,4,Facil y Rapido
263,2023-04-15 12:49:43,4,FUE RAPIDO
264,2023-04-15 09:47:20,5,Could not translate webpage to english.
265,2023-04-15 06:30:48,5,super facil
266,2023-04-15 06:09:04,5,Es muy rápido
267,2023-04-15 06:06:37,5,"Sencillo, rápido y eficiente"
268,2023-04-15 05:48:10,5,EFICIENCIA
269,2023-04-15 04:28:04,5,facil
270,2023-04-15 04:16:10,5,FÁCIL TRÁMITE
271,2023-04-15 03:57:07,5,ME PARECE MUY BIEN
272,2023-04-15 03:48:46,5,es muy facil hacer el check-in
273,2023-04-15 03:37:41,4,Excelente servicio de reservaciones
274,2023-04-15 03:32:04,5,excelente
275,2023-04-15 03:26:09,5,es rapida
276,2023-04-15 02:38:40,4,no vi mi asiento
277,2023-04-15 02:37:12,4,"esta sencillo, no di un 10 porque aveces no era obvio como continuar a la siguiente pantalla"
278,2023-04-15 02:36:51,5,porque si
279,2023-04-15 02:36:41,4,SON BUENOS
280,2023-04-15 02:29:48,5,bien
281,2023-04-15 01:44:44,5,cambiaron el modo de viajar en el pais
282,2023-04-15 01:24:29,4,ok
283,2023-04-15 01:24:23,5,COMODIDAD
284,2023-04-15 01:17:23,5,BIEN
285,2023-04-15 01:02:17,5,todo muy facil gracias
286,2023-04-15 00:34:05,5,practicidad
287,2023-04-15 00:08:41,4,Facilidad.
288,2023-04-15 00:01:52,5,ES MUY SENCILLO
289,2023-04-14 23:54:54,5,disponibilidad de vuelos
290,2023-04-14 23:42:44,5,"Facil de navegar su sitio web, los mejores precios!"
291,2023-04-14 23:37:10,5,rapides
292,2023-04-14 23:31:24,5,los quiero mucho
293,2023-04-14 23:18:10,5,Rápido y fácil de realizar
294,2023-04-14 23:05:40,4,ok
295,2023-04-14 23:05:09,5,FACILIDAD D RESERVAR
296,2023-04-14 23:04:42,4,Rapidez
297,2023-04-14 23:04:16,5,PARA EVITAR ATRASOS
298,2023-04-14 23:02:10,5,ES FACIL
299,2023-04-14 22:54:30,5,porque no imprimes en papel y es mucho mas sencillo el abordaje
300,2023-04-14 22:52:29,5,EXCELENTE SERVIVIO
301,2023-04-14 22:44:31,5,Andrea Perez de el call center fue muy amable!Gracias por su servicio y ayuda
302,2023-04-14 22:33:11,5,muy facil
303,2023-04-14 22:26:39,5,Buen servicio
304,2023-04-14 22:12:37,5,OK
305,2023-04-14 21:46:47,5,todo muy bien
306,2023-04-14 21:45:35,5,eficiencia y claridad en el servicio
307,2023-04-14 21:12:26,5,BUENA ATENION
308,2023-04-14 21:03:46,5,FACILIDAD DE VIAJAR Y DOCUMENTAR
309,2023-04-14 20:51:31,5,Pasos sencillos
310,2023-04-14 20:37:57,5,Muy buen servicio
311,2023-04-14 20:32:11,5,X
312,2023-04-14 20:27:05,5,Es muy sencillo
313,2023-04-14 20:04:10,5,FUE MUY SENCILLO HACER EL CHECK INN
314,2023-04-14 19:52:16,4,ME FUE MUY ACCESIBLE
315,2023-04-14 19:48:04,5,"Confío en VIVA Airlines. precio barato. Los vuelos de aerolíneas son numerosos. Muy selectivo. Además, el servicio de VIVA Airlines es de primera clase."
316,2023-04-14 19:46:17,4,Sin mayores inconvenientes
317,2023-04-14 19:45:05,4,ES SENCILLO
318,2023-04-14 19:40:42,4,ENCONTRE EL VUELO QUE NECESITABA
319,2023-04-14 19:37:04,5,es muy intuitiva y amigable
320,2023-04-14 19:36:52,5,facil
321,2023-04-14 19:35:34,5,precios
322,2023-04-14 19:33:20,4,ES AGIL Y RAPIDO
323,2023-04-14 19:29:05,5,ES SENCILLO EL MENÚ.
324,2023-04-14 19:16:04,5,rápido y sencillo
325,2023-04-14 19:01:04,5,es muy claro en sus indicaciones y restricciones.
326,2023-04-14 19:00:41,4,ok
327,2023-04-14 18:59:10,4,rapido
328,2023-04-14 18:57:06,5,Por ser muy rápido y practico
329,2023-04-14 18:46:05,5,ES FACIL
330,2023-04-14 18:44:46,5,facilidad
331,2023-04-14 18:44:15,5,Gracias
332,2023-04-14 18:39:38,5,me encanta su sistema
333,2023-04-14 18:20:40,5,ES MUY FACIL Y RAPIDO EL SERVICIO
334,2023-04-14 18:18:04,5,Fácil de hacer
335,2023-04-14 18:13:12,5,PORQUE ME PARECE MUY SEGURO EL VIAJE
336,2023-04-14 18:13:04,5,POR RAPIDO Y COMODO
337,2023-04-14 18:04:23,5,fácil y rápido
338,2023-04-14 18:04:20,5,Facilidad
339,2023-04-14 18:02:56,5,PORQUE ES MUY SENCILLO
340,2023-04-14 18:02:40,5,TODO HA SIDO OK EN LOS VUEKOS UE HE HECHO
341,2023-04-14 18:00:27,5,"BUENA ATENCION Y EXCELENTE SERVICIO, DESDE LA RESERVACION Y EL MOSTRADOR"
342,2023-04-14 17:58:37,4,"Bastante buena, muy intuitiva."
343,2023-04-14 17:54:47,5,Para eficientar el abordaje
344,2023-04-14 17:52:53,5,COOL
345,2023-04-14 17:48:54,5,Es muy fácil usar la página
346,2023-04-14 17:48:41,5,muy practico y fácil de realizar
347,2023-04-14 17:40:05,5,eficientes
348,2023-04-14 17:33:56,5,Muy bien
349,2023-04-14 17:27:03,5,excelente atencion en linea
350,2023-04-14 17:26:17,5,POR SERIEDAD Y CUMPLIMIENTO
351,2023-04-14 17:24:26,5,super rápido el proceso
352,2023-04-14 17:20:19,5,GRACIAS
353,2023-04-14 17:06:04,5,excelente
354,2023-04-14 17:03:51,5,agil
355,2023-04-14 17:02:29,4,ATENCION
356,2023-04-14 17:01:16,4,Fácil manejo
357,2023-04-14 17:00:18,5,muy practica
358,2023-04-14 16:53:13,5,Rapido y facil
359,2023-04-14 16:49:12,5,es muy rapido
360,2023-04-14 16:46:15,5,apenas lo haré pero bueno ya te califique
361,2023-04-14 16:36:25,4,facilidad
362,2023-04-14 16:35:51,5,Tienen buen sistema
363,2023-04-14 16:34:21,5,MUY RAPIDO Y SENCILLO.
364,2023-04-14 16:31:33,5,muy practico
365,2023-04-14 16:28:04,5,PUNTUALIDAD
366,2023-04-14 16:28:04,5,SERVICIO EXCELENTE
367,2023-04-14 16:22:30,5,Muy buen  servicio
368,2023-04-14 16:09:28,4,facil y rapido
369,2023-04-14 16:01:56,5,Excelente
370,2023-04-14 16:01:43,5,excelente servicio
371,2023-04-14 15:53:03,5,Sencillo
372,2023-04-14 15:43:23,4,FACIL Y RAPIDO
373,2023-04-14 15:42:22,4,EFICIENTE
374,2023-04-14 15:41:31,5,seervicio
375,2023-04-14 15:39:29,5,ES MUY FACIL CUMPLE MUY BIEN
376,2023-04-14 15:34:17,4,precio y caidad
377,2023-04-14 15:22:04,5,economico
378,2023-04-14 15:18:32,5,buen servicio
379,2023-04-14 15:17:31,5,RAPIDO
380,2023-04-14 15:10:24,5,me parecio perfecto y aparte rapido
381,2023-04-14 15:10:09,5,Rapidez
382,2023-04-14 14:54:17,5,ok
383,2023-04-14 14:41:34,5,Fácil y rápido
384,2023-04-14 14:29:04,5,PRECIO
385,2023-04-14 13:56:31,5,es muy fácil y muy amigable el sistema
386,2023-04-14 13:53:19,4,buen servicio
387,2023-04-14 13:08:10,5,facil
388,2023-04-14 12:37:10,5,Muy Sencillo
389,2023-04-14 12:32:16,4,si
390,2023-04-14 12:29:32,5,por el servicio atento
391,2023-04-14 08:47:57,5,SON LOS MEJORES!!!!
392,2023-04-14 06:43:51,5,facil de manejar
393,2023-04-14 05:58:43,5,j
394,2023-04-14 05:11:51,4,"Agil y fácil. lo que no entendí es porque cobran por reservar los asientos, aun en la clase economica"
395,2023-04-14 04:43:51,5,Porque agiliza el embarque
396,2023-04-14 04:43:50,5,Por precio
397,2023-04-14 04:25:24,5,Es muy sencillo
398,2023-04-14 04:12:22,4,PORQUE SI
399,2023-04-14 04:02:14,5,MEJORA EL SERVICIO
400,2023-04-14 03:28:28,5,excelente
401,2023-04-14 03:12:33,5,facil y rapido
402,2023-04-14 03:00:18,5,EASTA MUY FACIL DE REALIZARLO
403,2023-04-14 02:45:38,5,Muy fácil de usar.
404,2023-04-14 02:45:05,5,BUEN SERVICIO
405,2023-04-14 02:23:04,4,Proceso ágil
406,2023-04-14 01:43:39,5,facilidad
407,2023-04-14 01:25:05,4,rapido y facil
408,2023-04-14 01:18:09,5,NOMAS
409,2023-04-14 01:13:37,5,Muy facil
410,2023-04-14 01:13:06,5,TODO MUY FACIL Y ACCESIBLE
411,2023-04-14 00:52:17,5,muy amigable la pagina y practica . Gracias
412,2023-04-14 00:49:42,5,ES RÁPIDO
413,2023-04-14 00:41:47,5,porque
414,2023-04-14 00:38:31,5,es muy facil y rapido.
415,2023-04-14 00:33:26,4,es facil y rapido
416,2023-04-14 00:27:53,5,buen servicio
417,2023-04-14 00:26:22,4,Porque es fácil y rápido
418,2023-04-14 00:12:04,5,VUELOS A TIEMPO Y SERVICIO
419,2023-04-13 23:59:21,5,facil de usar
420,2023-04-13 23:59:20,5,Puntualidad en sus vuelos
421,2023-04-13 23:52:28,5,Excelente servicio
422,2023-04-13 23:47:08,5,Muy sencillo y rápido
423,2023-04-13 23:42:08,5,ES UN EXCELENTE SERVICIO
424,2023-04-13 23:36:54,4,FACIL
425,2023-04-13 23:36:04,5,"Precio Economico , todavia no me he subido al avion"
426,2023-04-13 23:35:48,5,MUY RAPIDOS Y EFICAZ
427,2023-04-13 22:37:57,5,porque es muy facil
428,2023-04-13 22:20:27,5,bueno
429,2023-04-13 22:11:43,5,EXCELENTE SERVICIO. MUY FACIL DE USAR
430,2023-04-13 21:50:11,4,RAPIDO
431,2023-04-13 21:47:25,5,eficinecia y precios
432,2023-04-13 21:34:51,5,ok
433,2023-04-13 21:32:12,4,facil de usar
434,2023-04-13 21:16:19,5,facilidad
435,2023-04-13 21:14:20,5,muy rapido
436,2023-04-13 21:13:53,5,RAPIDA Y SEGURA
437,2023-04-13 21:09:52,5,Rapida y eficiente
438,2023-04-13 20:51:54,5,rapido
439,2023-04-13 20:49:13,5,es rapidísimo!
440,2023-04-13 20:37:50,5,TE AGILIZA EL PROCESO
441,2023-04-13 20:36:37,5,EFECTIVA Y RÁPIDA
442,2023-04-13 20:34:35,5,por sencillo
443,2023-04-13 20:27:08,5,44R45R4
444,2023-04-13 20:25:17,4,Se ahorra tiempo
445,2023-04-13 20:22:53,5,Intuitivo
446,2023-04-13 20:01:55,5,si
447,2023-04-13 19:52:30,5,Es muy fácil y te ahorras hacer fila en el aeropuerto
448,2023-04-13 19:49:40,5,ahorra tiempo yes muy practico
449,2023-04-13 19:24:04,5,Pagina amigable
450,2023-04-13 19:16:20,5,RUTAS DIRECTAS
451,2023-04-13 19:15:29,4,BUEN SERVICIO
452,2023-04-13 19:10:06,5,..
453,2023-04-13 18:59:34,5,RAPIDEZ Y AMABILIDAD
454,2023-04-13 18:56:55,5,BUEN SERVICIO
455,2023-04-13 18:53:22,5,excelente servicio!!!
456,2023-04-13 18:50:11,5,MUY RAPIDO
457,2023-04-13 18:48:09,5,Geografía
458,2023-04-13 18:46:26,5,muy rapido
459,2023-04-13 18:38:25,5,buen servicio
460,2023-04-13 18:35:05,5,BUEN SERVICIO
461,2023-04-13 18:28:57,5,ES LA MEJOR EMPRESA AEREA. SE ESTA QUEDANDO CORTO AEROMEXICO
462,2023-04-13 18:22:44,5,facil
463,2023-04-13 18:21:14,4,Por la rapidez
464,2023-04-13 18:06:22,4,hasta el momento ha sido rápido
465,2023-04-13 18:00:25,5,MEJOR AEROLINEA
466,2023-04-13 17:58:48,5,EFICIENTE
467,2023-04-13 17:52:16,5,MUY ACCESIBLE
468,2023-04-13 17:49:35,5,MUY RAPIDO
469,2023-04-13 17:47:13,5,TODO FUE CLARO
470,2023-04-13 17:44:40,5,"Porque es como me gusta, Fácil y Rápido"
471,2023-04-13 17:32:04,5,OK
472,2023-04-13 17:29:35,5,Facil de utilizar
473,2023-04-13 17:28:13,4,OK
474,2023-04-13 17:24:43,5,MUY PRACTICA
475,2023-04-13 17:21:47,5,muy practico
476,2023-04-13 17:19:04,5,muy amigable la pagina
477,2023-04-13 17:15:34,5,Fácil y rapido
478,2023-04-13 17:14:38,5,SII
479,2023-04-13 17:06:40,5,ES BUENA
480,2023-04-13 16:56:36,4,muy sencilllo el registro
481,2023-04-13 16:49:04,5,bueno
482,2023-04-13 16:39:10,5,COMPRE MUY RAPIDO Y A BUEN PRECIO
483,2023-04-13 16:34:32,5,Facil
484,2023-04-13 16:29:54,5,Muy ágil
485,2023-04-13 16:27:20,5,Fué fácil
486,2023-04-13 16:27:03,4,facilidad
487,2023-04-13 16:26:29,5,MUY SENCILLO
488,2023-04-13 16:24:26,5,Fue muy ágil el proceso para realizar el check in
489,2023-04-13 16:18:37,5,FACILIDAD DE HACER CHECK IN
490,2023-04-13 16:16:35,4,por la rapidez
491,2023-04-13 16:12:14,4,Por que permite hacer el chek in con anticipacón y evitamos filas
